cd_clean,female,age_bin,educ_bin,race_bin,population
AL-02,1,18-29,some_college,white,10299
AL-02,1,18-29,some_college,black,5257
AL-02,1,18-29,some_college,hispanic,697
AL-02,1,18-29,some_college,other,861
AL-02,1,18-29,college_plus,white,8432
AL-02,1,18-29,college_plus,black,4304
AL-02,1,18-29,college_plus,hispanic,570
AL-02,1,18-29,college_plus,other,705
AL-02,1,30-44,no_college,white,18464
AL-02,1,30-44,no_college,black,9425
AL-02,1,30-44,no_college,hispanic,1249
AL-02,1,30-44,no_college,other,1543
AL-02,1,30-44,some_college,white,12780
AL-02,1,30-44,some_college,black,6523
AL-02,1,30-44,some_college,hispanic,864
AL-02,1,30-44,some_college,other,1068
AL-02,1,30-44,college_plus,white,10463
AL-02,1,30-44,college_plus,black,5341
AL-02,1,30-44,college_plus,hispanic,708
AL-02,1,30-44,college_plus,other,875
AL-02,1,45-64,no_college,white,24966
AL-02,1,45-64,no_college,black,12743
AL-02,1,45-64,no_college,hispanic,1689
AL-02,1,45-64,no_college,other,2087
AL-02,1,45-64,some_college,white,17281
AL-02,1,45-64,some_college,black,8820
AL-02,1,45-64,some_college,hispanic,1169
AL-02,1,45-64,some_college,other,1445
AL-02,1,45-64,college_plus,white,14147
AL-02,1,45-64,college_plus,black,7221
AL-02,1,45-64,college_plus,hispanic,957
AL-02,1,45-64,college_plus,other,1183
AL-02,1,65+,no_college,white,18731
AL-02,1,65+,no_college,black,9561
AL-02,1,65+,no_college,hispanic,1267
AL-02,1,65+,no_college,other,1566
AL-02,1,65+,some_college,white,12965
AL-02,1,65+,some_college,black,6618
AL-02,1,65+,some_college,hispanic,877
AL-02,1,65+,some_college,other,1084
AL-02,1,65+,college_plus,white,10614
AL-02,1,65+,college_plus,black,5418
AL-02,1,65+,college_plus,hispanic,718
AL-02,1,65+,college_plus,other,887
AL-03,0,18-29,no_college,white,20220
AL-03,0,18-29,no_college,black,7328
AL-03,0,18-29,no_college,hispanic,1013
AL-03,0,18-29,no_college,other,1303
AL-03,0,18-29,some_college,white,13879
AL-03,0,18-29,some_college,black,5030
AL-03,0,18-29,some_college,hispanic,695
AL-03,0,18-29,some_college,other,895
